question_id,bad_word,question,question_sentiment_gold,answer,answer_sentiment_gold,username,
question_box_118637255240,ass,Your ass is amazing,positive,thx lmfao,positive,@nicoleeiiee,
question_box_121916942054,ass,you ass,negative,Was this meant for Anna?,positive,@lasallehailey,
question_box_131040981000,shit,Shit I lost it in the mail,positive,"Damn, to bad you won't ever get it again :((",positive,@ssopphia,
question_box_115431471572,shit,Narnia that where all the shit is happening,positive,Oo ye I feels,positive,@Kaylacuellar,
question_box_65364856097,fucking,What is in your fridge?,positive,"Shoes, obviously fucking food.. Haha",positive,@Raveenlovee,
question_box_111262582500,fuck,Would you fuck?,positive,well,positive,@lolkylah,
question_box_114206132548,kill,Why do people kill each other?,positive,because they are heartless -_-,positive,@UznainNazir,
question_box_125060670536,ass,What one word describes you?,positive,smart ass lol,positive,@abbyshields_33,
question_box_63864353141,shit,"in ur opinion, do u think it is possible to fall in love with ur best friend",positive,Yeah it's natural  shit like that happens lol it's happened to me before but sincer were best friends we work shit out and keep being best friends,positive,@kingMannyho,
question_box_122145889733,kill,and you failed...,positive,"Have u looked in the mirror, because then you will see the real failure (kill'em)",positive,@reaganbehr,
question_box_46188325912,kill,"if you had to kill and eat another human to survive, would you?",positive,Wtf no,positive,@ah0yalex,
question_box_126518377531,ass,Vic,positive,Alyssa's ass,positive,@Jennapetracco,
question_box_119651011747,stfu,You hop from friend to friend.,negative,can u not no I don't you asked the same question to carol and you obviously don't know what you are talking about because I have many friends and I don't hop I hangout with a lot of them at different times so stfu please,negative,@nicolebriscoeeee,
question_box_52260200686,kill,for the next 30 years you have to live with one person in the same room all the time. afterwards you have to kill them. would you choose someone you like or someone you hate?,positive,Neither cuz that ain't gonna happen to me ever hahahha!,positive,@AgentIncognito,
question_box_54501561677,fuck,Who else agrees tht macy A should kill her self? Lol we should start a patition or   somethin,negative,HELL NO. Macy is one of my bestfriends & I love her so so much. You're sick minded for saying this. So fuck you whoever you are & if I find out who you are you'll be sorry.,negative,@HayBarrera84,
question_box_59295637832,die,what's the most dumb question you got asked about diabetes,positive,"""oh my gosh are you gonna die?!""",positive,@nicoleeiiee,
question_box_41465735808,fuck,"It best friend is stupid and she is ugly, bur I can be ur bestfriend",negative,"Who ever the fuck you are, Anna is the smartest and most beautiful girl I know in the enter world and I don't freaking give a shit about what you said.",negative,@Carolynnzhaoo,
question_box_114178630548,fucking,"If there were a book about your life, what the cover would look like?",positive,Me fucking something up because I seem to be good at that,positive,@justinryk,
question_box_122338563849,fuck,maybe you are hanging out with the wrong people dont give in fuck them there loss not yours one day you will be someones everything bc they will see what everyone else sees just dont ever change for someone else,positive,You guys say it like its so easy when it's not all that shit gets to you it doesn't seem like it does but it does and it gets to me hard walking around school knowing that someone hates you so much that they'd actually make an account send you hate it's not the best feeling to feel,positive,@gabynoemi_,
question_box_115766766443,ass,goals in life,positive,To become rich & a hot ass bitch,positive,@forevert0rn,
question_box_120389394760,shit,People bug you because you're really hot. But I hate reading that shit. It goes too far! They need to remember that you're still human. You deserve respect.,positive,thx bff ahaha,positive,@nicoleeiiee,
question_box_111629960241,ass,What's your favorite movie scene?,positive,when forrest Gump gets those dope ass nikes #$wag,positive,@Rodrigo2man,
question_box_124623849558,nigga,"Probably I'm not a ""thirsty nigga"" or whatever this society names people and I just wanted to know your number so I can get to know you better...",positive,well i dont give my number out to just anyone. if you wanted my number youd tell me who you are first,positive,@Suzie_Valencia,
question_box_120696977422,die,What's your opinion about the death penalty?,positive,If you kill or rape someone you should die,positive,@SAVANNAHROSEM,
question_box_114715621183,nigga,Munib quit playin always try to bring a nigga like dat,positive,What you mean,positive,@munib23,
question_box_123843615142,stfu,ok..,positive,stfu,negative,@jennaa_ameyy,
question_box_122641350969,fuck,your stunt round honest to god did not deserve an above 300 point score........awkkkk,positive,How would you know? You don't realize how hard we actually work. We literally work EVERY day. We have yet to have a day off. So please do us all a favor and go fuck yourself. Have a nice day.,negative,@MaddySmith22,
question_box_113942284990,kill,ever tried to kill yourself?,positive,mhm,positive,@emilynkissel,
question_box_125534796233,fuck,Then 99.5%,positive,Fuck off you inbred ape,negative,@strobers,
question_box_112568458304,hoe,Back off Miguel hoe!,negative,why don't you come off anon and say it again bitch?!,negative,@DianaaLizethh,
question_box_129838331028,fuck,Do you dance like crazy when no one is looking? What music makes you dance the most?,positive,nope 1-2-3 fuck it. I'll dance in front of anyone. I really don't care,positive,@skylynn_spicer,
question_box_120349153529,fucking,"V yup she can't fucking stand you anymore she told me today we had lunch together at quicklys!! you've been replaced:"")",negative,Oh that's cool bc she had lunch with me today you fake piece of shit,negative,@WalkersEatPiez,
question_box_126817337074,ass,Get shit straigh bitch Ima seat with Lena let's see who she gonna choose then we fight I'll beat the fuck out of u and ur mom,negative,hahahahhahahahahahahhahahahahahhahahahahhaha im laughing my ass off,positive,@SaMeR_9,
question_box_55797034839,die,When is the world going to end?,positive,When we all die,positive,@Briannabowers,
question_box_130991911933,die,Would you rather wear a snow suit in the desert or be naked in Antarctica?,positive,So either die or die no thanks,positive,@LilymaeWhite,
question_box_130454580773,fuck,It's Relaxation Day. How will you unwind?,positive,What the fuck is relax dude that word is not in my vocabulary there is no relax for me.,positive,@Katthedinisaurruler,
question_box_120762927819,ass,Sydni Adams sent nudes! I have them you can see her face! Plus you can see that wrinkly ass and it looks nasty! Last you can see the pussy it's a bush but her tits our nice!,negative,Whoever you are your a dick for sending this to everyone,negative,@tressin2323,
question_box_123778489600,ass,"Im sorry about farace, its his fault he fucked up things with you besides you deserve someone better....its farace who always try to get girls with his big ass nose that ruins his relationships.",negative,thanks anon text me ?,positive,@maggiemiller7,
question_box_133389634188,suck,yo brittney u make me mad,positive,thats because u suck,negative,@brittneynhin_,
question_box_133742957837,suck,Something you say a lot,positive,suck on dat,positive,@katelynburke1234567,
question_box_115442933127,shit,Someone who gives a shit and wanna be with you but oh well who cares doesn't really matter,positive,Well if you care you should tell me who you are you just can't assume things.,positive,@Yesslyv,
question_box_126344724668,fuck,What's ur morning routine,positive,fuck your bitch then go to school,negative,@kellyporcelloo,
question_box_67984975846,suck,Loserrrr,negative,Suck my dick u loser,negative,@Lacrossemofo,
question_box_123615746696,fuck,Do you like Aseel?,positive,"Okay listen up you hoe, wallah i dont like aseel i swear to the quran i dont like aseel and if i dont like him why the fuck would i ask him questions about me on his dumbass ask!!??",negative,@unknownbeauty99,
question_box_112656348531,ass,you should grown an ass cuz you don't have one it's fucking small,negative,Like your dick,negative,@saraa_ghb,
question_box_52395058456,die,If you want to die then I will have to be the reason why you would want to live.,positive,oh cool.,positive,@ah0yalex,
question_box_126308155200,ass,Nice ass,positive,oh,positive,@amyy098,
question_box_130592809073,fuck,is that your mom? she fine af,positive,Fuck you Darrin,negative,,
question_box_129603044244,ass,What's something that everyone should do every day?,positive,shower. nasty ass people in bellefonte.,negative,@skylynn_spicer,
question_box_126194592931,fuck,What's your biggest phobia?,positive,"yanno what bugs me? this. you ASK TO TOUCH MY SHAVED HEAD. don't just walk up and touch it. that is the most disrespectful, twat-like thing you can do. i will kick you. i will slap you. i will punch you. DON'T TOUCH IT WITHOUT ASKING. body modified people don't fuck up their hair and get tattoos and piercings for you to disrespect them & not ASK TO FUCKING TOUCH THEM. i have had this happen with my guaged ears, my dyed hair, & my shaved part of my head.nothing pisses me off more than that.",negative,@punkoverfunk,
question_box_130428429337,fuck,"You have two watermelons a pencil and a straw. Using this information, how much water can your couch hold?",positive,What the actual fuck,negative,@Auuuuutumn,
question_box_126280950438,fuckin,I'm not fuckin tellin bitch,negative,Ok ok ok,positive,@samicarriker,
question_box_123098513062,bitch,it's grind time bitch,negative,oh ard,positive,@jennaa_ameyy,
question_box_114553257023,suck,Aww you suck babe <3,positive,Lol thanks :),positive,@munib23,
question_box_126765023219,stfu,"if I wanted to tell you something about noah, I wouldn't have done it on ask sorry.",positive,"okay? I'm not going to create bullshit drama with you, so be mature about the situation and stfu",negative,@asdfghjklbrianna,
question_box_33240630379,nigga,JASUHDFIA HEPFIJIVH UASDIOI CYNTHIA!!!,positive,WHAT NIGGA,positive,@forevert0rn,
question_box_115426933182,shit,why do you hate caitlyn k?,positive,I dont hate her? Im done with her shit.,positive,@emilynkissel,
question_box_104994864909,fucking,So you aint fucking with no other girl but her tonight or do she really got you into her?,positive,I am only talking to her yes,positive,@QuailianDotson,
question_box_52636313639,fuckin,Why do you want everyone to reveal yourself have you ever thought they just fans they can be fuckin anonymous,positive,How about you reveal yourself. And stop hiding under your shell!,positive,@LanceGross,
question_box_125267787934,stfu,"It's funny how u say he is the best thing that happened to u what about your friends? You say you ""love"" him u are in 7th grade and have only been dating for a month u don't love him.",positive,stfu,negative,@chloe_porter178,
question_box_123088618644,asshole,Strange is different. Different is good.,positive,Ehhh idk about that haha I'm an asshole too,positive,@justinryk,
question_box_114510630463,kill,Would you kill an innocent person if you thought it might mean saving a dozen other people?,positive,I wouldn't kill anyone unless they do sum to my close ones,positive,@munib23,
question_box_131859710352,shit,What is your most unusual nighttime or morning ritual?,positive,Taking a shit,positive,@Skate_Die_Repeat,
question_box_109991434174,ass,What do you do when you’re angry?,positive,Uhhmm i try to walk away from it so i dont beat someones ass and or i start screaming at them xD #anger #issues,positive,@emilynkissel,
question_box_121375529758,fuck,Date & Fuck‎  Devontae,positive,haha thanks hmu!,positive,@m0rganrisch,
question_box_118315382683,shit,Tbh ur a cool person,positive,That was really nice I can tell u put a lot of deep shit into this lol,positive,@Adellevokoun,
question_box_113491883681,fucking,Robbie is fucking dumb flirting with other girls while he was with you,negative,He's not dumb,positive,@JillianHopee,
question_box_111560289399,bitch,you deserve so much better than that bitch sean you are the nicest and sweetest person ive ever seen can you please like me backk,positive,Awe!! Why thank u!!,positive,@Shayleighdennison,
question_box_126677046923,shit,ask me shit bout grimmer & it's people. I'll know.‎  Grimmer,positive,Oh look. Another idiotic account.,positive,@Ala_Yacoub,
question_box_72918340082,kill,Do you have a nickname? What is it?,positive,kill,positive,@nurulaqilah07,
question_box_130694444680,fuck,Is that what ur crush looks like,positive,"Don't you just hate it when you take a poop and you start wiping, and then wiping, and then wiping, and then wiping, but the poop streak doesn't go away from your butt hole until you either continue wiping it for 15 mins or just say ""fuck it"" and leave the poop streaks still in your butt hole",positive,@Anthonyg0816,
question_box_108311936913,fuck,well I told u so bout him,positive,Okay shut up! Maybe we broke up but it doesn't mean he wasn't one of the best bf I have ever has he was probably the best so fuck off and leave me alone,negative,@Donnie24,
question_box_124716686641,stfu,stfu you didn't grind !!‎  emilie g,negative,I danced with my friends and the birthday girlllll,positive,@JuliaINucci,
question_box_126592421065,ass,ur prof pic reminds me of when i saw this hot ass guys dick and it was like a tic tac and i tried to be nice,positive,That's cool but Ik tht ain't me,positive,@strobers,
question_box_130818613694,ass,annoyed with anyone,positive,ya! this one person is such an ass to me!,negative,@Annabelledenisenichole,
question_box_127504156146,shit,"hey lisa. animals. you know em. those htings around out there? what' sthe heck? why don't more aaa devs make games abt animals, i think they would be really god imo. anyway that's my question, good luck lisa",positive,"I don't know why more AAA don't make games about animals! I think because it's super tough in AAA these days, and any risk taken is super duper scary. To make a game about animals would be risky business. Which is sad because I do so love animals. The reason I know all these animals is because I watched a shit ton of nature documentaries as a kid.",positive,@Wertle,
question_box_114729913541,shit,What makes you really sleepy?,positive,piano shit.,positive,@alenasoares,
question_box_123185496980,ass,What's your hair color?,positive,Dark ass brown,positive,@justinryk,
question_box_132780206871,fucking,why don't u pick a fucking side,positive,"I know who side I'm on. But I don't feel like displaying it on social media, what good can come out of it",positive,@marsiwms,
question_box_62135412368,bitch,What habit that others have annoys you most?,positive,being an annoying little bitch,positive,@HunterPiper,
question_box_132774371981,fucking,Which is your favorite TV show?,positive,I love how Mark always refers to his wife Skye as his plus one. That's so fucking cute.,positive,@adrianperhaps,
question_box_107200861356,kill,No I shall run away then! *opens a portal and runs through before closing it in front of her* *comes out of portal at end of driveway and walks down the dirt road yawning* And that night every Josef disappeared... I'm gonna kill somebody now~~‎  Shadowbreath,positive,"JOSEF!! COME BACK HERE AND MARRY ME RIGHT NOW!! JOSEF!!!!!!!!!!!!!!!!!!!!!!!Hmph. And to think today was a Tuesday, too. *shakes head* He's really missing out on a New Year's Eve version of Tuesday. *sighs* Welp. Time to find a clone or Zachary~ Or some other character~ I'm not spending this Tuesday alone, that's for sure~",positive,@IzabelvonStein,
question_box_111682639076,stfu,Your being a bitch to keri sabrina and veronica so just stop,negative,Stfu,negative,@lolkylah,
question_box_125740682360,fuck,Fuck‎  IG:luisss_1234,positive,thanks,positive,@ToriJasmin,
question_box_126641269748,fucking,Why'd you cover Abby can't you just catch the ball... It's not a bullet that your protecting her from,positive,its was just my fucking reaction jesus christ,positive,@gaynor_madi,
question_box_102489061487,fuck,I beg to differ Olivia is the most cheerful and beautiful girl with the beat smile and gorgeous dimples ever so back off and take your moms dildo and fuck your self :),negative,Oh my gosh thank you whoever this is:),positive,@Olivepanpan,
question_box_57760953478,shit,Why did Matt delete his ask after 300 questions?,positive,I guess cause of all the shit people were giving him :/,positive,@amariiexis,
question_box_128553978099,shit,ha shit ur friends rule:),positive,hell yeah,positive,@asdfghjklbrianna,
question_box_106685842519,shit,-‎  Brianna bowers,positive,"like dis shit for a tbh,& a rate:*",positive,@Briannabowers,
question_box_128289414495,fuck,Long story short don't close that number and p.s. Anon fuck you,negative,I'm still confused,positive,@abbymchugh_,
question_box_121781202547,ass,k sara fk u no selfie you butchh ass‎  Mini Savage,negative,excuse me,positive,@saraa_ghb,
question_box_113799174478,bitch,We all know u want to be Anastasia ! Bitch!,negative,HAHAHA your funny(x what's the next joke?,positive,@Daisyochoa102,
question_box_109673482804,fuck,fuck me please,positive,Who is this? lol,positive,@Cami51299,
question_box_104258188616,ass,Your have a big ass,positive,i've been told ahah,positive,@nicoleeiiee,
question_box_129159787790,fuck,"I bet you don't even like her, wow pathetic.",positive,FUCK NO YOU CROSSED THE LINE BITCH IF I FUCKING FIND OUT WHO THIS IS IM GONNA MAKE YOUR LIFE MISERABLE BITCH,negative,@nicoxflorez,
question_box_114345210739,stfu,ayeee sexyy‎  Amanda Berarducci,positive,Ayee stfu,negative,@saraa_ghb,
question_box_133252381887,stfu,nah he's dead..he's spectating bc I quick scoped him,negative,stfu ill snipe u. try me,negative,@mikaylasimms,
question_box_70192643893,ass,You always stick your ass out in school and bend over and push it out and try to draw attention to it all the time. Give it a rest,negative,"Lol I have back problems so usually I when I hold my back, bending helps lol so just stop if it bothers u don't look at me",positive,@LexiSchwartzzz,
question_box_113588108423,fuck,How much money do you need to feel rich?,positive,Fuck you.,negative,@Yesslyv,
question_box_124650631048,shit,What is your new years resolution ?‎  Angelica  ❥,positive,"I dont got one. Every year is basically the same shit, but ig I wouldnt get too close to anybody",positive,@Gaaby_xoxo,
question_box_116348202047,nigga,R.I.P EVAN,positive,Rip my nigga Evan I wish the best for his family,positive,@munib23,
question_box_127118127009,fuck,You're hot as fuck,positive,Gross bye,negative,@JillianHopee,
question_box_124845817264,kill,Tbh your outfits are adorable and honestly I would kill to have your body‎  Tia Trudgeon,positive,"I would kill to have YOUR body! But thanks girl, I miss you! We should hangout sometime :)",positive,@sarahfosco,
question_box_116495035208,bitch,say bitch :-),positive,?,positive,@iloveetacos_14,
question_box_44559022795,shit,"i honestly love you. your like my sister. we talk evrry day, een thought i say shit to you i really do love you. <3",positive,Awww thx ILY 2,positive,@Bria3580,
question_box_110058927973,ass,yeah holy crap he stopped talking 10 minutes before we got back ):,positive,I had some weird ass dream cuz of him dude,positive,@its_hansonnn,
question_box_116117348241,fucking,Do you think it's right that grace is mad at keely,positive,I said I'm not in this little drama act. But anyway no I don't because Noah and keely have a thing? Cool they like each other let them fucking be. Idk not my business to be in,positive,@Donnie24,
question_box_128422012884,shit,You're kinda sorta a bitch,negative,The nicest people can be the biggest bitch once their done with shit like that,positive,@sydneysterup,
question_box_16514308715,fuck,"I have a crush on one of my bestfriend, but he told me that he likes another girl, and I'm being supportive and everything, but I it hurts so fkn much.. And now idk he just doesn't talk to me the same way he did before and it's weird.. He used to care so much about me but he doesn't give a fuck now",positive,Yeah that happens when one falls for the other in a friendship /: just try talking to him & tell him that you still support him & you still wanna be friends because im guessing youd rather have him as a friend than not have him at all right?,positive,@forevert0rn,
question_box_133509931686,fuck,Why he fuck u lying why u always lying oooo omg stop fucking lying,negative,*the and ‎@mac,positive,@samicarriker,
question_box_48643486217,bitch,"I must hear all about it >:) lol I mean c'mon who else would have ""asked"" the ""using bitch"" question in mine :P‎  Caylynn Kennedy",positive,yeah its pretty obvious:P,positive,@missaugeedc,
question_box_114000175665,kill,Why do people kill each other?,positive,a durr they obiously hate that person. like i hate blb,positive,@nathalie_sofiaaa,
question_box_116143327602,fuck,Would u fuck h Ur crush,positive,who wouldn't fuck their crush-Annemarie,positive,@kendal25_,
question_box_132316220944,shit,Do you ever even realize how much you've done. Just holy shit you've done and been to so many places for only being 15,positive,Yeah 😂,positive,@talv4,
question_box_121781966195,kill,Where dey at doe?‎  King Mugz,positive,kill urself,negative,@saraa_ghb,
question_box_125632534974,suck,Don't suck up to me please Anna I'm tired of your drama but I do thank you for saying me and Dawson are cute,positive,"okay, I'm not sucking up to you and you haven't been in any of my drama. but okay Kaylee have a nice life.",positive,@Annabelledenisenichole,
question_box_131173009396,fucking,y were u sitting wth jay ant and nick at the vkings game,positive,cause i do what i fucking want,positive,@gaynor_madi,
question_box_118300970150,kill,sma‎  Odell Beckham Jr.,positive,nahh Colette would kill me,positive,@jennaa_ameyy,
question_box_118475650041,die,So you're on a really fancy boat named the S.S.Wilson it has 10 seats including yourself. The boat is out at seas and starts to sink. You and all the people are living your last moments :( from the people at school who would you want to spend ur last moments with? Fill the 9 seats!! ANSWER PLEASE,positive,id rather die alone with my fancy boat,positive,@WalkersEatPiez,
question_box_125229596226,ass,Carly,positive,ilhsfm and I love kicking ass with her ❤️❤️❤️ and she's perfection and hilarious omg,positive,@cindychen_,
question_box_121962328254,shit,Why do you always like weird shit on here??,positive,"ahhh,what?",positive,@Annabelledenisenichole,
question_box_122082895305,fuck,When did u say you were leaving?,positive,Why don't u and I play a game of fuck off. You go first.,negative,@strobers,
question_box_132666072168,die,No joke‎  tyler muncy,positive,you didn't let me die and that's all that matters.,positive,@courtney_sizemore,
question_box_125897251972,fucking,Can I be as sporty as you!! Fucking perfect,positive,Hahah no where near perfect but thank you(:,positive,@meggiemouse,
question_box_121275500963,fucking,oh my god please kik me,positive,"Aubray? & I JUST GOT HIT IN THE FACE WITH A FUCKING SOFTBALL""don't quit, suffer now, live as a champion"" hahhahaah",positive,@punkoverfunk,
question_box_102981640174,shit,arent you and Nicole together already?? so whats up with amy? unless you like both of them or some shit bro,positive,"wtf, i don't even know what the anon is talking about yo. Nicole and I ain't even talking anymore",positive,@AgentIncognito,
question_box_125002328332,shit,Well he does even tho u don't deserve him,positive,umm stfu bc you don't know shit. he's the one who lied so hop off im not in the mood✋,negative,@aalyahanderson_x0,
question_box_114850969151,stfu,Lmao stfu whoever you are but you know I ain't playing about being a doctor and giving my money to Munib :),positive,Damn lol,positive,@munib23,
question_box_127487853986,fuck,Tbh idk you but you seem really nice and cool hmu sometime & Fuck,positive,ayyyy thanks & I will,positive,@kaylaaamarieee7,
question_box_125301285573,kill,What's your favorite pickup line?,positive,Date me or I kill you❤️,positive,@reaganbehr,
question_box_111300922483,fuck,lol shut the fuck up shes flawless‎  Maddy,negative,iluu,positive,@saraa_ghb,
question_box_42859222891,bitch,do you like ‎@forgetforevers? that bitch is so fake I hate him I once tried to hack him lol don't tell him lol,negative,Um???,positive,@forevert0rn,
question_box_121603477144,hoe,tbh// hate you. jk. ily.‎  ain$ley,positive,ily2 hoe,positive,@iskybreezy,
question_box_121378434904,kill,Do u think Dawson and Zach are cute,positive,NO ONLY DAWSON IS CUTE. HE CAN LITERALLY KILL PEOPLE WITH HIS CUTENESS. OBVIOUSLY.,positive,@turanganator,
question_box_125940947212,fucking,You're welcome! I just hate people. Don't listen to them! It doesn't matter what people think. But they are fucking stupid.‎  Kaitlyn,negative,TRUE,positive,@aalyahanderson_x0,
question_box_131410225011,fuck,tbh u and dimi should fuck agaim‎  Nick Moshonas,positive,actually give me onee,positive,@saraa_ghb,
question_box_119571906502,cut,"""Sebastian cut her a slice."" Lukas says eating more of his cake.‎  Jayne Ruin",positive,Jem glances over to Sebastian and smiles.,positive,@AdorableCutiePie,
question_box_116418377719,nigga,How many languages can you speak and what are they?,positive,"Hindi,bangla,khisti bangla,english,nigga english,hasta la vista baby. :*",positive,@SourishLqChakravarti,
question_box_67109143908,shit,What can spoil your day?,positive,"some dumb shit,",positive,@heyitsdejaa,
question_box_40772547179,nigga,LOL nigga,positive,Wot,positive,@forevert0rn,
question_box_124262955336,ass,You got the best ass in dis school,positive,oh word ??,positive,@nicoleeiiee,
question_box_120670224953,fucking,What's  letter their name start with?,positive,I'm not fucking saying! I'm 99% sure they already know sooo.. Go suck a duck,negative,@MaddySmith22,
question_box_131188597901,kill,I wish it was my real name :( but everyone would kill me if I change my name.‎  Gemary Palermo,positive,I love ur rl name too ok,positive,@adrianperhaps,
question_box_126958442531,hoe,Joy is such a THOT,negative,Jordan is such a HOE,negative,@jjoyjjang0,
question_box_48784670845,ass,ugly ass mofo,negative,Um thanks,positive,@HeyItsMeJoanne,
question_box_127932511889,die,Did 3 people actually die?‎  Luke Campbell,positive,No I don't think so but idk,positive,@Jessicahill18,
question_box_115787893591,ass,Do guys usually grab your ass while making out?,positive,"yess, I luvv it",positive,@Briannabowers,
question_box_115848228877,nigga,People are dumb asf saying your fake lmfao cx,positive,Ikr do I look like the type of nigga to be on catfish lol (:,positive,@QuailianDotson,
question_box_124540050056,nigga,damn nigga I thought ur gonna write ur life story it took u an hour to replay ...n alhamdallah u like it :),positive,You were waiting for me to reply?-_-,positive,@unknownbeauty99,
question_box_64487976686,shit,"U need to grow up. You think that you are ""too young"" for way too much shit. Its called ""enjoying youth"" dip shit. You should do these things now because when you get older it had more meaning than having fun",negative,So you're telling me to go have sex in high school is that what you're saying,positive,@AgentIncognito,
question_box_106096431771,bitch,Ur like gross and dirty,negative,No I just took a shower bitch,negative,@Adellevokoun,
question_box_129969777797,shit,I'm not going to give you shit for it I just don't want either you hurt again maybe he should get another chance,positive,"Okay well thank you, but I've given him a lot of chances..",positive,@briannal44,
question_box_132050806459,fucking,Oh what does he do to annoy you?‎  ⭐Vëñüs thé hēdgëhøg⭐,positive,"Deanna: He is a fucking pest and a pervert! Him and Zim are rivals, and they both don't like each other. Tony always trys to frame Zim on stuff that he didn't do. Anyway, you don't wanna meat him!",negative,@RabbitFemale,
